Year,Country,State,Bacteria,Antibiotic,Resistance%,Resistant_Count,Number_of_Isolates,Specimen_Type,Age_Group,Percent_Male,Lab_Method,MDR_Flag
2023,Usa,New York,E.coli,Oxacillin,35.8,77,214,Blood,Nov-20,55,Broth Microdilution,0
2016,Uk,Wales,E.coli,Meropenem,21.6,15,70,Blood,21-40,45,MIC (Automated),0
2016,India,Kerala,Pseudomonas aeruginosa,Amikacin,27.5,8,30,CSF,0-10,45,Disk Diffusion,0
2019,India,Kerala,E.coli,Oxacillin,27.1,101,372,Sputum,0-10,55,Broth Microdilution,0
2018,India,Delhi,Staphylococcus aureus,Amikacin,29.9,33,110,Blood,0-10,55,Broth Microdilution,0
2019,Usa,New York,Staphylococcus aureus,Oxacillin,15.5,35,229,CSF,0-10,55,E-test,0
2023,India,Kerala,Klebsiella pneumoniae,Amikacin,54.1,24,44,Blood,60+,55,E-test,1
2017,India,Kerala,E.coli,Ciprofloxacin,40.6,100,246,Blood,60+,50,MIC (Automated),0
2023,India,Delhi,Klebsiella pneumoniae,Oxacillin,38.5,79,205,Wound,0-10,45,Disk Diffusion,0
2018,Uk,Wales,Klebsiella pneumoniae,Oxacillin,27.2,23,83,Sputum,Nov-20,45,Broth Microdilution,0
2024,Uk,England,Klebsiella pneumoniae,Amikacin,30.2,62,206,Wound,0-10,50,Disk Diffusion,0
2023,Usa,New York,E.coli,Meropenem,36.3,96,265,Wound,60+,55,Broth Microdilution,0
2015,Uk,England,Staphylococcus aureus,Ciprofloxacin,23.6,42,176,Urine,0-10,55,Broth Microdilution,0
2016,India,Kerala,Staphylococcus aureus,Oxacillin,29.8,47,157,Blood,Nov-20,50,MIC (Automated),0
2021,Uk,Scotland,Staphylococcus aureus,Oxacillin,28.1,49,173,Wound,21-40,50,Broth Microdilution,0
2015,Usa,Florida,Klebsiella pneumoniae,Oxacillin,32.5,28,87,Blood,41-60,55,MIC (Automated),0
2015,Uk,Northern Ireland,Staphylococcus aureus,Meropenem,24.7,45,184,Wound,41-60,45,Disk Diffusion,0
2024,India,Tamil Nadu,Staphylococcus aureus,Amikacin,33.2,45,137,CSF,21-40,45,MIC (Automated),0
2015,India,Tamil Nadu,Pseudomonas aeruginosa,Ciprofloxacin,40.1,60,150,Blood,21-40,50,Broth Microdilution,0
2018,Uk,England,Staphylococcus aureus,Oxacillin,12.2,28,231,Sputum,60+,45,E-test,0
2016,Usa,Texas,Staphylococcus aureus,Ciprofloxacin,16.4,15,92,CSF,0-10,45,E-test,0
2015,Usa,New York,Staphylococcus aureus,Ciprofloxacin,34.0,97,286,Wound,0-10,45,Broth Microdilution,0
2018,Usa,California,Staphylococcus aureus,Amikacin,10.7,13,126,Sputum,0-10,55,Broth Microdilution,0
2019,India,Delhi,Klebsiella pneumoniae,Amikacin,30.3,88,291,Blood,41-60,55,Broth Microdilution,0
2017,India,Delhi,E.coli,Meropenem,28.6,48,167,Blood,Nov-20,50,Broth Microdilution,0
2017,Usa,Texas,E.coli,Oxacillin,26.3,8,30,CSF,21-40,45,Disk Diffusion,0
2017,Uk,Wales,Staphylococcus aureus,Meropenem,30.4,57,189,Urine,41-60,55,MIC (Automated),0
2016,Uk,Scotland,Staphylococcus aureus,Oxacillin,29.8,20,67,Urine,60+,45,E-test,0
2021,Usa,Florida,Staphylococcus aureus,Oxacillin,29.9,45,152,Sputum,21-40,55,E-test,0
2023,Uk,Wales,Staphylococcus aureus,Meropenem,30.1,67,223,CSF,41-60,55,MIC (Automated),0
2021,Usa,Texas,Staphylococcus aureus,Meropenem,27.4,72,263,Wound,60+,50,Broth Microdilution,0
2020,Usa,Texas,Klebsiella pneumoniae,Meropenem,34.8,82,236,Wound,60+,50,MIC (Automated),0
2021,Uk,Wales,Klebsiella pneumoniae,Ciprofloxacin,39.0,120,307,Wound,41-60,55,E-test,0
2024,Uk,England,Klebsiella pneumoniae,Ciprofloxacin,40.6,41,100,Blood,Nov-20,50,Broth Microdilution,0
2015,India,Tamil Nadu,Klebsiella pneumoniae,Oxacillin,40.0,49,123,Blood,0-10,55,Broth Microdilution,0
2020,Uk,Scotland,E.coli,Oxacillin,36.7,76,207,CSF,Nov-20,45,Broth Microdilution,0
2017,Usa,Florida,Staphylococcus aureus,Oxacillin,33.3,38,114,CSF,0-10,55,Disk Diffusion,0
2016,India,Kerala,Pseudomonas aeruginosa,Oxacillin,38.9,91,235,CSF,41-60,50,Broth Microdilution,0
2021,India,Maharashtra,Staphylococcus aureus,Amikacin,26.0,81,312,Wound,21-40,50,Broth Microdilution,0
2019,Usa,Florida,Staphylococcus aureus,Ciprofloxacin,30.7,76,249,Wound,21-40,55,E-test,0
2015,Uk,Wales,Staphylococcus aureus,Oxacillin,19.5,36,184,Sputum,41-60,55,E-test,0
2017,Uk,Scotland,Pseudomonas aeruginosa,Amikacin,26.6,46,173,Wound,0-10,55,E-test,0
